code,FullName,gov_industry_name,Sector
000366,汇添富添富通货币市场基金,货币金融服务,金融地产
000505,国寿安保货币市场基金,货币金融服务,金融地产
000816,南方理财金交易型货币市场基金,货币金融服务,金融地产
000917,嘉实快线货币市场基金,货币金融服务,金融地产
002318,鹏华添利交易型货币市场基金,货币金融服务,金融地产
002852,招商财富宝交易型货币市场基金,货币金融服务,金融地产
003022,建信现金添益交易型货币市场基金,货币金融服务,金融地产
003252,大成添益交易型货币市场基金,货币金融服务,金融地产
040038,华安日日鑫货币市场基金,货币金融服务,金融地产
110006,易方达货币市场基金,货币金融服务,金融地产
159001,易方达保证金收益货币市场基金,货币金融服务,金融地产
159003,招商保证金快线货币市场基金,货币金融服务,金融地产
159005,汇添富收益快钱货币市场基金,货币金融服务,金融地产
159101,华夏国证港股通科技交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159102,华安恒生生物科技交易型开放式指数证券投资基金,医药制造业,医药健康
159103,汇添富中证金融科技主题交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159105,易方达恒生生物科技交易型开放式指数证券投资基金,医药制造业,医药健康
159106,前海开源中证民企300交易型开放式指数证券投资基金,综合,消费
159107,富国创业板软件交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159109,景顺长城恒生港股通50交易型开放式指数证券投资基金,综合,消费
159110,万家深证AAA科技创新公司债交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159111,天弘中证AAA科技创新公司债交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159112,银华中证AAA科技创新公司债交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159113,大成中证AAA科技创新公司债交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159115,华安中证AAA科技创新公司债交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159116,工银瑞信中证AAA科技创新公司债交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
159117,鹏华标普港股通低波红利交易型开放式指数证券投资基金,综合,消费
159122,富国创业板新能源交易型开放式指数证券投资基金,综合,消费
159126,南方中证港股通50交易型开放式指数证券投资基金,综合,消费
159150,易方达深证50交易型开放式指数证券投资基金,综合,消费
159200,富国中证AAA科技创新公司债交易型开放式指数证券投资基金,软件和信息技术服务业,TMT
