date,industry_name,policy_score_raw,policy_score_rolling5
2020-01-03,专业技术服务业,1.0,1.0
2020-01-10,专业技术服务业,-0.5,0.25
2020-01-14,专业技术服务业,1.0,0.5
2020-01-16,专业技术服务业,1.0,0.625
2020-01-18,专业技术服务业,1.0,0.7
2020-01-20,专业技术服务业,1.0,0.7
2020-01-30,专业技术服务业,1.0,1.0
2020-02-03,专业技术服务业,1.0,1.0
2020-02-13,专业技术服务业,1.0,1.0
2020-02-19,专业技术服务业,-1.0,0.6
2020-02-29,专业技术服务业,1.0,0.6
2020-03-06,专业技术服务业,1.0,0.6
2020-03-08,专业技术服务业,1.0,0.6
2020-03-11,专业技术服务业,1.0,0.6
2020-03-13,专业技术服务业,1.0,1.0
2020-03-23,专业技术服务业,1.0,1.0
2020-03-24,专业技术服务业,1.0,1.0
2020-03-25,专业技术服务业,1.0,1.0
2020-03-30,专业技术服务业,0.0,0.8
2020-04-03,专业技术服务业,1.0,0.8
2020-04-04,专业技术服务业,1.0,0.8
2020-04-09,专业技术服务业,1.0,0.8
2020-04-10,专业技术服务业,1.0,0.8
2020-04-16,专业技术服务业,1.0,1.0
2020-04-20,专业技术服务业,0.5,0.9
2020-04-22,专业技术服务业,1.0,0.9
2020-04-30,专业技术服务业,1.0,0.9
2020-05-07,专业技术服务业,1.0,0.9
2020-05-15,专业技术服务业,1.0,0.9
2020-05-17,专业技术服务业,1.0,1.0
2020-05-20,专业技术服务业,0.5,0.9
2020-05-30,专业技术服务业,1.0,0.9
2020-06-01,专业技术服务业,1.0,0.9
2020-06-02,专业技术服务业,1.0,0.9
2020-06-06,专业技术服务业,1.0,0.9
2020-06-17,专业技术服务业,1.0,1.0
2020-06-18,专业技术服务业,1.0,1.0
2020-06-19,专业技术服务业,1.0,1.0
2020-06-20,专业技术服务业,1.0,1.0
2020-07-15,专业技术服务业,0.0,0.8
2020-07-16,专业技术服务业,1.0,0.8
2020-07-17,专业技术服务业,1.0,0.8
2020-07-18,专业技术服务业,1.0,0.8
2020-07-24,专业技术服务业,1.0,0.8
2020-07-30,专业技术服务业,1.0,1.0
2020-08-10,专业技术服务业,0.0,0.8
2020-08-15,专业技术服务业,1.0,0.8
2020-08-20,专业技术服务业,0.5,0.7
2020-08-29,专业技术服务业,1.0,0.7
2020-09-02,专业技术服务业,1.0,0.7
2020-09-11,专业技术服务业,1.0,0.9
2020-09-12,专业技术服务业,1.0,0.9
2020-09-15,专业技术服务业,1.0,1.0
2020-09-17,专业技术服务业,1.0,1.0
2020-09-20,专业技术服务业,1.0,1.0
2020-09-22,专业技术服务业,1.0,1.0
2020-09-28,专业技术服务业,1.0,1.0
2020-09-29,专业技术服务业,1.0,1.0
2020-09-30,专业技术服务业,1.0,1.0
2020-10-20,专业技术服务业,1.0,1.0
2020-10-23,专业技术服务业,1.0,1.0
2020-10-28,专业技术服务业,1.0,1.0
2020-11-03,专业技术服务业,1.0,1.0
2020-11-04,专业技术服务业,1.0,1.0
2020-11-06,专业技术服务业,1.0,1.0
2020-11-10,专业技术服务业,-1.0,0.6
2020-11-12,专业技术服务业,1.0,0.6
2020-11-20,专业技术服务业,0.0,0.4
2020-11-27,专业技术服务业,1.0,0.4
2020-11-30,专业技术服务业,1.0,0.4
2020-12-03,专业技术服务业,1.0,0.8
2020-12-21,专业技术服务业,1.0,0.8
2020-12-30,专业技术服务业,1.0,1.0
2021-01-05,专业技术服务业,1.0,1.0
2021-01-08,专业技术服务业,0.0,0.8
2021-01-10,专业技术服务业,1.0,0.8
2021-01-18,专业技术服务业,1.0,0.8
2021-01-20,专业技术服务业,1.0,0.8
2021-01-30,专业技术服务业,1.0,0.8
2021-01-31,专业技术服务业,1.0,1.0
2021-02-05,专业技术服务业,1.0,1.0
2021-02-09,专业技术服务业,1.0,1.0
2021-02-10,专业技术服务业,0.0,0.8
2021-02-19,专业技术服务业,0.5,0.7
2021-02-21,专业技术服务业,-1.0,0.3
2021-02-23,专业技术服务业,1.0,0.3
2021-03-10,专业技术服务业,1.0,0.3
2021-03-19,专业技术服务业,1.0,0.5
2021-03-20,专业技术服务业,1.0,0.6
2021-03-22,专业技术服务业,1.0,1.0
2021-03-23,专业技术服务业,1.0,1.0
2021-03-25,专业技术服务业,1.0,1.0
2021-03-27,专业技术服务业,1.0,1.0
2021-03-29,专业技术服务业,1.0,1.0
2021-04-01,专业技术服务业,1.0,1.0
2021-04-07,专业技术服务业,1.0,1.0
2021-04-09,专业技术服务业,1.0,1.0
2021-04-10,专业技术服务业,1.0,1.0
2021-04-24,专业技术服务业,1.0,1.0
2021-05-08,专业技术服务业,1.0,1.0
2021-05-20,专业技术服务业,1.0,1.0
2021-05-22,专业技术服务业,1.0,1.0
2021-05-31,专业技术服务业,1.0,1.0
2021-06-03,专业技术服务业,1.0,1.0
2021-06-10,专业技术服务业,1.0,1.0
2021-06-12,专业技术服务业,1.0,1.0
2021-06-17,专业技术服务业,1.0,1.0
2021-06-18,专业技术服务业,0.0,0.8
2021-06-19,专业技术服务业,1.0,0.8
2021-06-20,专业技术服务业,1.0,0.8
2021-06-30,专业技术服务业,1.0,0.8
2021-07-11,专业技术服务业,0.0,0.6
2021-07-13,专业技术服务业,1.0,0.8
2021-07-14,专业技术服务业,0.0,0.6
2021-07-16,专业技术服务业,1.0,0.6
2021-07-22,专业技术服务业,1.0,0.6
2021-07-26,专业技术服务业,1.0,0.8
2021-07-27,专业技术服务业,1.0,0.8
2021-07-30,专业技术服务业,0.5,0.9
2021-07-31,专业技术服务业,1.0,0.9
2021-08-10,专业技术服务业,1.0,0.9
2021-08-13,专业技术服务业,1.0,0.9
2021-08-16,专业技术服务业,1.0,0.9
2021-08-20,专业技术服务业,1.0,1.0
2021-08-24,专业技术服务业,1.0,1.0
2021-08-25,专业技术服务业,1.0,1.0
2021-08-26,专业技术服务业,1.0,1.0
2021-08-29,专业技术服务业,1.0,1.0
2021-08-30,专业技术服务业,1.0,1.0
2021-08-31,专业技术服务业,1.0,1.0
2021-09-01,专业技术服务业,1.0,1.0
2021-09-03,专业技术服务业,1.0,1.0
2021-09-05,专业技术服务业,1.0,1.0
2021-09-06,专业技术服务业,1.0,1.0
