date,news_tda_score
2017-10-09,
2017-10-10,
2017-10-11,
2017-10-12,
2017-10-13,
2017-10-14,
2017-10-15,
2017-10-16,
2017-10-17,
2017-10-18,
2017-10-19,
2017-10-20,
2017-10-21,
2017-10-22,
2017-10-23,
2017-10-24,
2017-10-25,
2017-10-26,
2017-10-27,
2017-10-28,
2017-10-29,
2017-10-30,
2017-10-31,
2017-11-01,
2017-11-02,
2017-11-03,
2017-11-04,
2017-11-05,
2017-11-06,
2017-11-07,
2017-11-08,
2017-11-09,
2017-11-10,
2017-11-11,
2017-11-12,
2017-11-13,
2017-11-14,
2017-11-15,
2017-11-16,
2017-11-17,
2017-11-18,
2017-11-19,
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-23,
2017-11-24,
2017-11-25,
2017-11-26,
2017-11-27,
2017-11-28,
2017-11-29,
2017-11-30,
2017-12-01,
2017-12-02,
2017-12-03,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,0.4735119968185531
2017-12-08,0.33042013415730764
2017-12-09,-1.2052015067997703
2017-12-10,-1.5356878954522186
2017-12-11,0.8182652740088174
2017-12-12,0.29359281519130176
2017-12-13,0.8912829189566341
2017-12-14,1.0406107674151268
2017-12-15,0.3328108052727315
2017-12-16,-0.9406482516984542
2017-12-17,-1.4136512070460894
2017-12-18,0.4210092409289042
2017-12-19,1.0057978132487915
2017-12-20,2.3016243276212465
2017-12-21,1.0362642442103704
2017-12-22,1.83064611560673
2017-12-23,-0.9321276266715611
2017-12-24,-1.2715045478285967
2017-12-25,0.9470195278714731
2017-12-26,0.7045720880773275
2017-12-27,1.336730958511171
2017-12-28,1.3632233571327566
2017-12-29,0.7860393313220254
2017-12-30,-1.3279637229283536
2017-12-31,-1.72319205210938
2018-01-01,-1.418712683853368
2018-01-02,0.8064790156108027
2018-01-03,1.1159146556195396
2018-01-04,0.5358199081217981
2018-01-05,1.2748421250523392
2018-01-06,-1.0074901753252101
2018-01-07,-1.4699189218159678
2018-01-08,1.9762155246020434
2018-01-09,0.6288056349638983
2018-01-10,0.9695683727197755
2018-01-11,1.6645851408844383
2018-01-12,1.3830737602015384
2018-01-13,-0.645648311036375
2018-01-14,-1.436729770435083
2018-01-15,1.129489875717097
2018-01-16,0.774584618161137
2018-01-17,0.8056068917325973
2018-01-18,1.0707138903051006
2018-01-19,-0.7696590426146009
2018-01-22,-0.48619120865852483
2018-01-23,0.7069334050921707
2018-01-24,0.5611687649378023
2018-01-25,0.8862742181126736
2018-01-26,0.9942370555132428
2018-01-27,-0.6926640970631466
2018-01-28,-1.3300420554068217
2018-01-29,0.9325030508853362
2018-01-30,0.8126001586992172
2018-01-31,0.9913718595037232
2018-02-01,0.8092569906998361
2018-02-02,0.685483659188565
2018-02-03,-1.2762145846747959
2018-02-04,-1.502604990237378
2018-02-05,0.33504450403923247
2018-02-06,-0.19935793142153108
2018-02-07,0.31827818056770385
2018-02-08,2.4007465176954037
2018-02-09,1.673864356009809
2018-02-10,-1.0937374673548903
2018-02-11,-0.3247973465655549
2018-02-12,0.9582369447337367
2018-02-13,1.1101301722916237
2018-02-14,0.8316952736328257
2018-02-15,-1.4710415368632572
2018-02-16,-1.0807976140866846
2018-02-17,-1.6182767473565296
2018-02-18,-1.1366255737944486
2018-02-19,-0.5624257352921322
2018-02-20,-1.5603847888652633
2018-02-21,-1.2476843496535928
2018-02-22,0.48188311344135176
2018-02-23,1.5761936275768107
2018-02-24,-0.004919426257232549
